44
0 1 6
0 2 6
0 3 6
0 4 1
0 12 1
0 24 1
0 32 1
1 2 6
1 3 6
1 5 1
1 13 1
1 25 1
1 33 1
2 3 6
2 6 1
2 14 1
2 26 1
2 34 1
3 7 1
3 15 1
3 27 1
3 35 1
4 5 6
4 6 6
4 7 6
4 8 1
4 20 1
4 28 1
5 6 6
5 7 6
5 9 1
5 21 1
5 29 1
6 7 6
6 10 1
6 22 1
6 30 1
7 11 1
7 23 1
7 31 1
8 9 6
8 10 6
8 11 6
8 16 1
8 24 1
8 36 1
9 10 6
9 11 6
9 17 1
9 25 1
9 37 1
10 11 6
10 18 1
10 26 1
10 38 1
11 19 1
11 27 1
11 39 1
12 13 6
12 14 6
12 15 6
12 16 1
12 20 1
12 36 1
13 14 6
13 15 6
13 17 1
13 21 1
13 37 1
14 15 6
14 18 1
14 22 1
14 38 1
15 19 1
15 23 1
15 39 1
16 17 6
16 18 6
16 19 6
16 28 1
16 32 1
17 18 6
17 19 6
17 29 1
17 33 1
18 19 6
18 30 1
18 34 1
19 31 1
19 35 1
20 21 6
20 22 6
20 23 6
20 40 1
21 22 6
21 23 6
21 41 1
22 23 6
22 42 1
23 43 1
24 25 6
24 26 6
24 27 6
24 40 1
25 26 6
25 27 6
25 41 1
26 27 6
26 42 1
27 43 1
28 29 6
28 30 6
28 31 6
28 40 1
29 30 6
29 31 6
29 41 1
30 31 6
30 42 1
31 43 1
32 33 6
32 34 6
32 35 6
32 40 1
33 34 6
33 35 6
33 41 1
34 35 6
34 42 1
35 43 1
36 37 6
36 38 6
36 39 6
36 40 1
37 38 6
37 39 6
37 41 1
38 39 6
38 42 1
39 43 1
40 41 6
40 42 6
40 43 6
41 42 6
41 43 6
42 43 6
0 0 -3
1 1 -3
2 2 -3
3 3 -3
4 4 -3
5 5 -3
6 6 -3
7 7 -3
8 8 -3
9 9 -3
10 10 -3
11 11 -3
12 12 -3
13 13 -3
14 14 -3
15 15 -3
16 16 -3
17 17 -3
18 18 -3
19 19 -3
20 20 -3
21 21 -3
22 22 -3
23 23 -3
24 24 -3
25 25 -3
26 26 -3
27 27 -3
28 28 -3
29 29 -3
30 30 -3
31 31 -3
32 32 -3
33 33 -3
34 34 -3
35 35 -3
36 36 -3
37 37 -3
38 38 -3
39 39 -3
40 40 -3
41 41 -3
42 42 -3
43 43 -3
33
